Subjects,Correlation
300,0.9994461052571926
500,0.9996864853887493
100,0.9983377241670109
300,0.9994876179466193
1000,0.9998180132350847
1000,0.9998353978792939
50,0.996900927522528
500,0.9997028486251802
500,0.9996920617395112
100,0.9986396409092783
100,0.9984726060715845
100,0.9985699095236258
300,0.9995154585506801
500,0.9996766839717842
500,0.999687148027752
50,0.9969783743713211
100,0.9984026970379892
1000,0.9998571116279167
500,0.9996947836691228
100,0.9984780201043009
1000,0.9998478445193985
50,0.9969314487284927
50,0.9971602691430168
1000,0.9998487862933821
100,0.9985266832110945
300,0.9995456726196754
300,0.999485696510523
1000,0.9998474955051382
50,0.9965971674764196
50,0.997062364911416
300,0.9995423407801912
300,0.9995229708903841
1000,0.999852190837821
300,0.9994849807264627
50,0.9968527913766221
50,0.9972992109626818
100,0.9985926945215851
50,0.9969896494942836
500,0.9997058621353172
500,0.9996622517873645
100,0.998531989874569
100,0.9981033157391143
500,0.9997030740448104
50,0.9973005160995295
1000,0.9998245088565088
500,0.9996958907764197
300,0.99952951875544
1000,0.9998346028280406
300,0.9995152733106161
1000,0.9998338528472352
