Subjects,Correlation
300,0.9996966773774499
500,0.9998269275574629
100,0.9991478692503781
300,0.9997195344129212
1000,0.9998831167861577
1000,0.9998920830062169
50,0.9984274026496825
500,0.999817616176817
500,0.9998089394413591
100,0.9993465978049619
100,0.9991938523151694
100,0.9991650249980377
300,0.99973234058656
500,0.9998060879803905
500,0.9998077761038339
50,0.9985948748940657
100,0.9992481318883981
1000,0.999900545415279
500,0.9998117034306876
100,0.9992233302262388
1000,0.9998937554699071
50,0.9985157005406873
50,0.9985525333485312
1000,0.9998842644434789
100,0.9992309816646201
300,0.9996999526473618
300,0.9997344505788658
1000,0.9998832301132765
50,0.9984449257779908
50,0.9985480944928417
300,0.9997139576128571
300,0.9997007345266667
1000,0.9999017181472072
300,0.9997083722603691
50,0.9984058704240785
50,0.9986323358863352
100,0.9993089173014376
50,0.9985787588989553
500,0.9998149197083136
500,0.9997868576462576
100,0.999246855842791
100,0.9989845788324941
500,0.9998156817576334
50,0.9986238952514138
1000,0.9998845810957832
500,0.9998180984590271
300,0.9997312420745649
1000,0.9998949815139131
300,0.9997192419782595
1000,0.9998782091991382
